GenSymb	LAU125_TPM	LAU355_TPM	LAU1255_TPM	LAU1314_TPM
LOC101927532	0	0	0	0
LOC101929516	0.06	0.64	0	0.19
LOC101929565	0.19	0	0	0
BOD1L2	0	0	0	0
IFNA14	0	0	0.03	0
LOC102724017	13.82	15.77	19.18	12.49
MELTF-AS1	2.78	0.09	1.51	0.27
FALEC	0.1	0.54	0.09	0.58
LOC101928995	0	0	0	0.05
LOC105371485	0	0	0	0
LINC01494	0	0	0	0.02
LINC01402	0	0	0	0
LOC338963	0.09	0.05	0	0.03
TMBIM4	0	0	0.15	1.42
CASP16P	0	0	0	0
LOC101928733	0	0.03	0	0
LOC102724188	0	0	0	0
LOC286238	0	0	0	0
OR2M3	0	0	0	0.09
RNF144A-AS1	0.56	0.46	0.7	0.38
NLGN1-AS1	0.06	0	0	0
NACAP1	0.3	0.47	0.34	0.24
EFCAB14-AS1	0.28	0.1	0.05	0.75
TTTY17A	0	0	0	0
LINC01320	0.68	0.07	2.34	0
RALY-AS1	4.02	0.86	5.73	2.2
ORM2	0	0.3	0	0
PCAT6	1.97	0.2	1.58	0.24
TBX18-AS1	0	0	0	0
BMS1P17	0.09	0	0	0
TTTY4C	0.02	0	0	0
C19orf24	3.23	7.26	4.91	8.06
LINC01209	0.18	0.1	0.1	0.15
LINC01350	0	0	0	0
CYP4F29P	0.72	1.37	0.15	1.4
GUSBP11	2.36	6.57	3.89	6.81
LOC105374791	0	0.25	0	0.17
MIR646HG	0.05	0.05	0.02	0.03
CELSR3-AS1	0	0	0.22	0
LOC105377390	0	0	0	0
TXNDC12-AS1	0	0	0	0.08
GAS2L1P2	0	0	0	0
LOC101927534	0	0	0	0
LOC101929116	0.01	0	0	0.02
LOC101928043	0.87	1.01	0.17	0.18
HSPC324	0	0	0	0
TAB2	0.13	0.28	0.07	0.06
LOC100506885	0.12	0	0.14	0
LINC01185	0.15	0.38	0	0.92
LINC00687	0	0	0	0
LOC105378663	0.75	0.67	0.49	0.04
TSTD3	2.34	1.21	0.84	1.56
LINC01546	0	0	0	0
OST4	112.45	217.58	231.61	215.47
LOC105374580	0	0	0	0
LOC101927692	0.06	0.08	0.01	0.07
LINC01125	1.03	0.57	0.6	0.83
LOC100506405	0	0.02	0	0.05
LOC100996630	0	0	0	0
CT47A7	0	0	0	0
MIR34AHG	0	0	0	0
CCDC183-AS1	0.11	0.42	0.31	0.41
VN1R4	0	0	0	0
D21S2088E	0	0	0	0
FNDC10	0.79	0.48	6.76	0.42
MACC1-AS1	0	0	0	0
CLDN25	0	0	0	0.04
ZNF883	0.59	0.97	0.65	1.06
LOC101927768	1.74	0.39	0.33	0.65
HOTAIR	0	0	0	0.06
LOC102723505	0.87	0.21	1.29	0.88
LINC01201	0	0	0	0
LOC105376527	0	0.29	0.05	0.29
PROB1	0	0.02	0	0
CES1P1	0.13	0.09	0	0
ARL17B	5.05	11.2	8	9.49
LOC101928565	0	0	0	0
TNKS2-AS1	4.45	1.68	1.73	2.36
LINC00659	0.05	0.53	0	0.05
LOC101928775	0	0	0	0
DHFR	57.34	31.52	35.47	51.45
SRGAP3-AS2	0	0	0	0
SAPCD1	1.23	1	0.52	0.4
GABRG3-AS1	0	0	0	0
SPATA13	0.11	0	0.04	0
MIR365B	0	0	0	0
WEE2-AS1	2.36	0.91	0.56	1.8
LINC00954	0.12	1	0.34	1.05
NLGN4Y-AS1	0	0	0	0
HCG22	0.19	5.6	0.07	0.6
LINC01128	24.69	10.65	11.54	9.94
LOC101060385	0	0	0	0
LOC100131635	0.05	0.13	0	0.51
LAMA5-AS1	0	0.03	0	0.04
MIR4500HG	0	0	0	0
CT45A5	0	0.11	0	0
PIK3IP1-AS1	0.05	2.33	0.32	2.08
PCDH9-AS2	0	0	0	0
NEGR1-IT1	0	0	0	0
USP17L30	0	0	0	0
LINC01428	0	0	0	0
UBAC2-AS1	1.7	0.63	0.37	0.68
TTTY21	0	0	0	0
LINC01344	0.03	0.07	0.01	0.02
TSPY3	0	0	0.72	0.15
LOC102724502	0	0	0	0
HCG23	0.17	1.96	0.25	1.14
LOC100996635	0.47	0.26	0.06	0
LINC01205	0	0.2	0.12	0.09
HNF4A-AS1	0	0	0	0
TMPRSS11GP	0	0	0	0
LINC01038	0	0	0	0
LOC100506790	0	0	0	0
HSFY1P1	0	0.06	0	0
LOC101927159	0	0	0	0
LOC101927244	0	0	0	0
LOC101927482	0.85	9.14	2.9	10.24
LINC01548	0	0	0	0
LOC101928739	0	0.07	0	0
ASTN2-AS1	0.03	0	0	0.04
MED4-AS1	0	0	0	0
RPL41	0	0	0	0
VIM-AS1	1.27	5.15	2.5	4.61
CCDC26	1.94	0.27	0.66	0.03
EPHA1-AS1	0.1	0.84	0.66	1.36
KCNQ5-AS1	0	0	0	0
LINC00382	0	0.15	0	0
PGA4	0.02	0.33	0.02	0.01
LINC00200	0	0.02	0	0
LOC101929479	0.22	1.37	0.21	0.39
LINC00242	0	0.03	0.01	0
LINC00582	0	0.04	0.13	0.14
TTTY10	0.24	0	0.1	0.21
LINC00710	0.03	0	0	0
LOC100996624	0	0	0	0
LOC102723727	0	0.31	0	0.15
LOC101928994	0	0.01	0	0.01
LOC101928103	0.06	0.16	0.06	0.06
LOC105375009	0	0	0	0
RFPL4AL1	0	0.1	0	0.27
LOC101927827	0	0.04	0.09	0.08
ORM1	0	0.56	0	0
MCHR2-AS1	0	0	0	0
DLEU1-AS1	0.14	0	0	0
LOC102031319	0	0.12	0	0
LRRC3-AS1	0.07	0.03	0.03	0
PIN1P1	0	0	0	0
LOC101927000	0	0	0	0
LOC101927987	0	0	0	0
HLA-DRB6	2.75	68.61	3.81	39.25
MIR5689HG	0.04	0	0.26	0.08
LINC00858	0	0	0.35	0.01
KCNQ1-AS1	0.02	0	0	0.14
SFTA3	0	0	0.04	0
RALGAPA1P1	0.07	0.1	0.06	0.03
LOC101927745	0.02	0.06	0.17	0
LOC101928992	0.01	0.11	0.03	0.15
LOC101929592	0	0	0	0
LOC107986703	0	0	0	0
SPINK8	0	0	0	0
LOC105373536	0.06	0	0	0
PATL2	0.25	4.02	1.58	3.41
LOC105373191	0.11	0.13	0.02	0
LOC101927948	0	0	0	0
LOC101928696	0	0.09	0	0
NKX1-2	0	0	0	0
UBE2DNL	0	0	0	0
TSPY8	0	0	0.14	0.15
SACS-AS1	0	0	0	0.07
LINC01204	0	0	0	0
LOC105377391	0	0	0	0
PRAMEF25	0.02	0	0	0
LINC00358	0	0	0	0
USP17L26	0	0	0	0
ACVR2B-AS1	0.5	0.04	5.59	0
LOC100506470	0	0	0	0
LOC105375968	0	0.06	0	0
MBNL1-AS1	0.16	0	0	0
LOC645949	0	0.02	0	0
LINC01264	0	0	0	0
PRAC2	0.09	0	0	0
LINC00280	0	0	0	0
LOC101927419	0.06	0.2	0.03	0.13
LOC101929475	0.33	0	0	0
PRR20C	0	0	0	0
ZNF492	0.16	0.9	0.06	0.57
SNORD56	0	0	0	0
ISPD-AS1	0.59	0	0	0
LINC00484	0	0	0.11	0
LOC101928009	0	0	0	0
MIR192	0	0	0	0
LOC101929460	0	0	0	0
LOC100506274	0.91	0.02	0.19	0
LOC102724919	0	0.27	0	0
LINC01159	0.19	0	0	0
LOC105378470	0.11	0.07	0.04	0.15
UBE2Q1-AS1	0.13	0.06	0.06	0.27
LINC00399	0	0	0	0
XIST	0.07	46.85	0.52	0.01
ZNF688	2.55	5.69	3.07	6.76
PET100	39.81	43.8	50.52	42.47
EMX2OS	0	0	0	0
PGA3	0	0	0.02	0.01
STEAP3-AS1	0.02	0.09	0.02	0.01
LOC101927762	0	0	0	0
OGFR-AS1	0	0.34	0.23	0.08
CASC20	0	0	0.03	0
LINC01315	2.05	0.11	0.65	0.06
GK3P	0	0.17	0.07	0.06
LOC101929901	0	0.13	0	0
DOCK9-AS1	0	0	0	0
KIF25-AS1	0	0.03	0.01	0
PRPS1L1	0	0	0	0
LOC105373764	0.19	0	0	0
FLJ31356	0.34	0.62	0.24	0.78
ZRANB2-AS2	0.62	0.34	0.62	0.43
IQCF3	0	0	0	0
TOB1-AS1	0.25	0.59	0.27	0.8
LINC01435	0	0.03	0	0
LOC100287704	0	0	0	0.02
ALMS1-IT1	0.99	0.34	0.78	0.26
ANKRD36BP2	1.62	4.02	2.75	21.23
NHS-AS1	0	0	0.08	0
LOC101928626	0.82	0.47	0.14	1.19
LOC284632	0	0	0	0
POTEB2	0	0	0	0
LINC00364	0	0	0	0
ANKRD66	0	0	0	0.01
PRRT3-AS1	5.29	0.41	3.9	0.26
TCERG1L-AS1	0	0	0	0
LOC285389	0.18	0	0.01	0
LOC101929721	0	0	0	0
TPRG1-AS2	0	0	0	0
LHX4-AS1	0.49	2.48	0.45	1.29
FLJ33581	0	0.03	0	0
HOXB-AS1	8.54	0.77	0.26	0.66
LINC00443	0	0	0	0
LOC101927431	0	0	0.01	0
LINC01433	0	0	0	0
OR4F3	0	0	0	0
LOC105375556	0	0	0	0
LOC100133286	0	0	0	0
EIF2B5-AS1	0.15	1.08	0.34	1.49
FAM92A1P2	0.02	0.04	0	0.05
LOC105378739	0	0	0	0.04
MIRLET7DHG	0.54	1.17	0.31	1.1
XXYLT1-AS2	0.07	2.88	1.03	4.14
LOC100507194	0.84	0.04	0.05	0.03
NAALADL2-AS3	0	0	0	0
OR5H6	0	0.06	0	0
FEZF1-AS1	0	0	0.49	0
LINC01284	0	0.09	0	0
LOC100506679	0.21	0.22	0.04	0.18
LOC339568	0	0.12	0	0
LOC105376736	0.33	0.17	0.44	0.33
CT47A8	0	0	0	0
TPI1P2	0.68	0.31	0.46	0.27
DSCR9	0.03	0.1	0.32	0.12
FAM41C	2.07	2.66	0.55	4.44
GOLGA6L17P	1.51	0.97	1.04	0.34
LOC100505664	0	0.25	0	0
LINC01048	0.05	0	0	0
LOC101928336	0.93	1.08	0.49	0.82
LOC105372566	0	0.06	0.03	0.14
LOC105374293	0.08	0.11	0	0
LOC101927795	0	0	0.03	0
LINC00856	0.07	0.11	0	0
LOC101927895	5.18	1.01	0.51	1.39
LOC101928098	0	0	0	0.05
USP17L25	0	0	0	0
LOC102724555	0	0	0	0
LRRC37A6P	0.4	0.32	0.19	0.34
LINC00276	0	0	0	0.16
LINC01381	0	0	0	0
ANKRD18B	0.4	0.1	1.24	0.05
PSMG3-AS1	2.55	1.44	0.57	1.53
VAV3-AS1	0.09	1.86	0	1.95
PPP5D1	0.21	0.08	0.01	0.11
THAP7-AS1	0.61	1.69	0.97	0.75
MBD3L2	0.02	0	0	0
LOC101928460	0	0	0	0
COL6A4P1	0	0	0.09	0
LOC101060019	0	0	0	0
LOC100507103	0	0.78	1.34	0.13
AOAH-IT1	0	0	0	0
LINC00102	0.04	0.03	0.02	0.02
USP17L1	0	0	0	0
LOC101929441	0.02	0	0	0
LOC105378272	0.11	0.38	0.63	1
CCDC192	0.47	0.22	0.06	0.73
ZNF32-AS2	0.14	0.56	0.29	0.16
LOC105376365	0	0	0	0
GTF2IRD1P1	0.42	0.18	0.42	0.26
FTX	1.42	1.66	1.56	2.67
CT47A4	0	0	0	0
LOC100505478	0	0	0	0.1
HM13-AS1	0.16	0	0	0.42
DNM3OS	0	0	0	0
RGPD4-AS1	0	0	0	0
PRB4	0	0	0.04	0
KLHL7-AS1	3.19	0.34	0.08	0.25
CEACAM22P	0	0.19	0.05	0
SETSIP	0.03	0.05	0	0.11
ENO1-AS1	0.56	0.89	0.24	0.7
LOC105375266	0	0	0.05	0
FBXW4P1	0.02	0.09	0.17	0.52
LINC00332	0	0	0	0
LOC105376480	0.07	0	0	0.15
LOC284798	0.01	0.03	0	0.23
LOC339666	0.09	0.13	0.04	0.06
MEIS1-AS2	0	0	0	0
ZNF341-AS1	0	0	0	0
LOC101928476	0	0	0	0
ANKRD63	0	0	0	0
LOC340512	0.07	0.02	0	0
ARHGAP26-IT1	0	0	0	0
YY2	0.94	0.08	0.28	0.41
FOXD3-AS1	4.75	0.02	6.83	0.12
SRGAP2-AS1	1.2	0.12	0.18	0.04
ZNF674-AS1	2.01	1.49	1.25	1.13
STMND1	0.06	0.32	0.03	0.12
LINC00486	0.04	0	0.03	0
LINC00692	0	0	0	0
LOC101928307	0.77	0	0	0
LOC105375972	0	0	0	0
HAO2-IT1	0.11	0	0	0
LINC00309	0.01	0	0	0.07
MIR205	0	0.25	0	0.11
LOC101927686	0.46	1.5	0.12	0.69
LOC154449	0	0.03	0	0.02
LINC01520	0	0.03	0	0
LINC00160	0	0	0	0
HSBP1	138.94	16.21	33.01	22.57
LOC105370306	0	0	0	0
LINC00271	0.28	0	0.04	0
LOC101926966	0	0.01	0.04	0
USP17L28	0	0	0	0
LINC00395	0.51	0.38	0.21	0.07
MIR92B	0.43	0.5	0.6	0.06
KRTAP21-3	0	0	0	0
LOC100506801	0.18	1.87	0.38	1.53
LINC01508	0	0	0	0
LOC105373343	0	0	0	0
LOC101927377	0.14	0.03	0.04	0.05
LINC01468	0.03	0	0	0
HAR1B	0.25	0.3	0.05	0.1
LOC105378533	0	0	0	0
TTTY3	0	0	0	0
KLF3-AS1	0.14	0.34	0.3	0.29
CSMD2-AS1	0	0	0	0
LINC01098	0	0	0.05	0
LOC101927884	0.36	0.59	0.21	0.55
LOC440704	0	0	0	0
LINC00852	0.47	2.28	0.52	1.34
LOC101926941	1.56	0	1.12	0
LOC102724593	0.28	0.1	0.91	0.31
OR5H1	0	0	0	0
PLSCR5	0	0	0	0.02
GS1-600G8.3	0	0	0	0
LINC01593	0	0	0.07	0
TRIM31-AS1	0	0	0	0
LOC101926964	0.68	0	0	0
LOC105373006	0	0	0	0
C17orf105	0.11	0.09	0.06	0.12
SBK3	0	0	0	0
APCDD1L-AS1	0.44	0	0.01	0
LINC00704	0.06	0	0	0.09
SGO1-AS1	0	0	0	0
LOC653712	0.71	0.87	0.22	0.32
LOC728730	6.27	1.8	5.49	1.8
RPL13AP17	0	0	0	0
LOC100133985	0.12	0.07	0.08	0
LOC101927542	0	0.12	0	0
LOC101929147	8.92	3.28	1.21	3.45
GNA14-AS1	0	0	0	0
FGF12-AS1	0	0	0	0
HLA-DPA1	55.92	2160.74	827.94	2740.09
USP17L10	0	0	0	0
LINC00689	0.25	0.03	0.15	0.11
LINC01516	0	0	0	0
LINC01445	0	0	0	0
LINC00396	0	0	0	0.07
LOC440910	0	0	0	0
WASIR2	0.29	1.75	0.21	2.74
LINC01305	0.03	0.01	0	0
LINC00032	0	0.02	0	0.02
LINC00441	0.24	0.33	0.14	0.24
RPS18	2078.05	5251.38	2517.22	4745.86
LINC01353	0.28	1.6	0.26	3.56
LOC105376171	0.12	0	0	0
FAM225A	0.31	0.03	0.39	0.13
LINC01249	0.25	0.29	0.27	0.06
LINC00278	0.23	0	0.74	2.11
DPP10-AS3	0	0	0	0
LOC400002	0.08	0.4	0.27	0.34
LOC401585	0	0.04	0	0.02
KCCAT211	0	0	0	0.13
FAHD2CP	5.26	0.4	4.29	0.8
SNORD62B	0	0	0	0
LINC01037	0.48	0	0	0.24
MIR15A	7.01	3.54	2.1	7.19
LOC100132215	0.27	0.17	0.06	0.17
LOC101927596	0	1.47	0.84	1.97
LOC105373524	0	0	0	0
AGBL5-AS1	0	0	0	0
USP17L29	0	0	0	0
LOC100506895	0	0.03	0	0.01
SPATA31B1P	0	0	0.01	0
DLG3-AS1	0.08	0	0	0
LOC101928489	0	0	0	0
LOC101927765	1.94	2.13	2.92	2.48
LOC646268	0	0	0	0
LINC01307	0	0.23	0	0.07
LINC00410	0.03	0.24	0	0.21
LOC101927136	0.09	0.24	0.05	0.07
LINC01090	0	0.89	0.34	0
LINC00574	0.01	0	0.01	0.04
LOC400800	0	0.01	0.02	0.01
LINC-PINT	8.07	27.95	13.59	22.52
ARHGEF9-IT1	0.15	0	0	0
TSPAN19	0.1	0.01	0.08	0
LINC01273	0.29	0	0	0.05
ABCA9-AS1	0.11	0	0	0
EMBP1	0	2.25	0.44	3.47
LINC01354	0.23	0	0.01	0
LINC01611	0	0	0	0
LINC00575	0	0	0	0
DBIL5P	0.24	0.31	0.09	0.2
PIK3CD-AS2	11.8	1.32	4.77	2.27
PCAT7	0.41	0.02	0.12	0.05
LINC00210	0	0	0	0
AKAIN1	0	0	0.6	0
LOC102723854	0	0.05	0	0.07
LOC343052	0	0	0	0.02
UTAT33	0.05	0.25	0.14	0
CYP21A2	0	0.06	0	0
LOC105373805	0.17	0.9	0.25	0.85
OR5K2	0	0	0	0
IPO9-AS1	0	0.23	0.03	0.25
LOC102723536	0	0	0	0
F10-AS1	0	0	0	0
PRH1	2.92	1.41	0.29	1
TRAF3IP2-AS1	16.25	5.96	1.39	5.73
DARS-AS1	5.41	5.26	2.87	3.42
IDH1-AS1	2.76	0.31	3.03	0.23
LOC730100	0.01	0.02	0	0.02
NEBL-AS1	0	0	0	0
PSG1	0	0	0.07	0.07
TAPBP	20.78	65.36	56.28	79.67
LINC01598	0	0.05	0	0
PGM5P4-AS1	0.05	0.22	0	0.08
PHKA1-AS1	0	0	0	0
HS1BP3-IT1	0	0.19	0	0
LOC101928380	0	0	0	0
LOC102724323	0	1.12	0	0.87
LOC101929231	0.37	0.19	0.17	0.35
LOC101928241	0	0	0	0
PPP1R2P3	0.01	0.01	0.01	0
LOC101928014	0	0	0	0
FLJ27354	2.44	2.26	3.75	2.53
LOC105372833	0	0	0	0
LEF1-AS1	1.55	0.9	0.07	0.96
DEFT1P2	0	0	0	0
ZBED9	0.03	0.13	0	0.43
LOC100507073	0	0	0	0
LOC101928475	0	0	0	0
LOC100132077	1.76	2.61	1.26	3.11
LINC01063	0.45	0.08	0.09	0.09
TMEM253	0.24	0	0.12	0.2
LINC01031	0	0.03	0.06	0.03
LOC284825	0.07	0	0.24	0.07
LOC102725019	0	0	0	0.24
RPS6KA2-IT1	0	0.04	0	0
LINC01104	0	0.01	0	0
LOC101929631	0	0	0	0
RFX3-AS1	0.16	1.78	0.74	2.66
TMA7	223.07	230.65	226.62	253.19
LOC730159	0.32	0	0	0
LINC00384	0	0.03	0	0.01
MCTS1	28.74	32.61	28.99	41.57
DYTN	0	0	0	0
NCOA7-AS1	0	0	0	0.17
NDFIP2-AS1	0	0	0	0
LINC00867	0	0	0	0
RAB9BP1	0	0	0	0
RAP2C-AS1	2.72	0.74	1.49	1.41
LOC729348	9.53	9.68	5.41	8.52
LINC00708	0	0	0	0
LOC440390	0	0	0	0
MTRNR2L4	0	0	0	0
LOC107985456	0	0	0	0
LINC00202-1	0.04	0.69	0.03	0.25
LINC01047	0	0	0	0
LINC00865	0.04	0.93	0.21	0.78
LOC102724699	5.34	3.18	11.19	4.14
ASCL5	0	0	0	0
TMEM114	0	0	0	0
KRTAP25-1	0	0	0	0
USP17L24	0	0.05	0	0
LOC100505824	0	0	0	0
OR52I1	0	0	0	0.18
GNG12-AS1	2.4	0	1.19	0
SLC6A1-AS1	0	0	0	0
LOC101927721	0.03	0	0	0
DAOA-AS1	0.02	0	0	0
LINC00279	0.08	0	0	0
SEMA3B-AS1	0.37	0.32	1.52	0
LOC101928386	0.19	0.08	0	0.12
OR5K1	0	0	0	0
LINC00493	49.95	46.08	40.49	48.3
USP17L13	0	0	0	0
LINC00112	0	0	0	0
LOC101928402	0.1	0.17	0.47	0.1
BPESC1	0	0	0	0
TTTY19	0	0	0	0
PRAMEF6	0	0.01	0	0.03
LOC100289656	0	0	0	0
C9orf172	0.02	0	0.05	0.03
LOC100505771	0.97	6.08	3.38	6.06
LOC101927746	0.52	0.06	0.04	0.15
LOC105378753	3.59	0.47	0.46	0.22
LINC01450	0	0	0	0
TGFB2-AS1	0.59	0	0	0
OSBPL10-AS1	0	0.42	0.28	0.45
LOC101929006	0	0	0	0
LOC151484	0	0.06	0	0.1
LOC100996732	2.41	1.26	1.7	0
LOC100289473	0.02	0	0	0
LINC00945	0.07	0	0	0
LOC101928031	0	0	0	0
KCND3-IT1	0	0	0	0
LINC01549	0	0	0.03	0.07
LOC101927257	0.07	0.03	0.03	0.06
LOC101927143	0.26	0.06	0.25	0.81
HLA-DQB2	0.39	72.59	19.22	46.93
LOC105374328	0	0.37	0	0.13
LINC01431	0.11	0.89	0.73	0.77
LOC105378934	0	0	0.12	0
GOLGA8N	0	0	0	0
LOC101927526	0	0	0	0
IDI2-AS1	10.05	1.27	3.26	0.97
LOC100507670	0.43	0.76	0.41	1.09
LINC00665	1.99	2.74	0.85	1.63
ATP11A-AS1	0.01	0	0	0
LINC00442	0	0	0	0
LINC01628	0	0	0	0
KIZ-AS1	0	0.07	0.07	0
LOC101926943	0.32	0	0	0.05
LOC105376955	0	0.04	0	0
LOC105376111	0	0	0	0
LOC100506178	0.03	0.28	0	0.92
LOC100421746	0	0	0	0
LOC105378499	0	0	0	0.03
FLJ22447	4.41	2.73	1.77	2.48
BMS1P22	0.05	0.33	0.29	0.13
LINC01162	0	0	0	0
SLCO4A1-AS1	0.24	0.02	5.43	0.11
TTTY20	0	0	0	0
TNF	1.23	53.08	6.01	37.01
COL4A2-AS1	0	0	0	0
RPS2P32	1.33	0.54	0.11	0.23
LOC100129620	0.03	0.03	0	0
LMLN-AS1	0	0	0	0.25
LOC101928435	0	0	0	0
PET117	1.62	1.64	1.4	0.95
PTGES2-AS1	0	0.06	0.04	0
LYRM9	10.47	7.04	3.86	8.19
SMG7-AS1	0.6	0.32	0.27	0.23
SEC1P	0.26	0.16	0	0.53
DPYD-AS1	0	0	0	0
LOC101928404	0.02	0.01	0	0
LOC101929413	0	0	0	0
LINC01166	0	0	0	0
DLGAP4-AS1	0.21	0.83	0.14	1.2
PLCE1-AS2	0.01	0	0	0.01
RPL23AP87	0.13	0.27	0.04	0.42
HCG25	40.62	14.9	22.11	12.5
DEFB130	0	0	0	0
LINC00374	0	0	0	0
SNHG15	15.28	15.56	10.71	16.24
LOC101927553	0	0.19	0	0
CYP1B1-AS1	0	0.25	0.15	0.2
LINC00327	4.86	0.06	0.14	0
LINC01219	0	0	0	0
GACAT1	0	0	0	0
RGS5	6.97	3.93	1.54	4.25
VPS13A-AS1	0	0	0	0
LOC553103	1.3	1.12	0.73	0.96
LOC101927560	0.31	0.01	0.23	0.25
NALCN-AS1	0	0	0	0.02
SNHG7	11.17	28.26	11.69	22.37
LOC100506585	0.01	0.63	0.49	0.1
PHGR1	0	0	0	0
LOC101929486	0.08	0.07	0.01	0.06
LOC100133267	0	0	0	0
PTCHD1-AS	0	0	0	0
LINC01271	0.18	0	0	0.03
LOC105378738	0	0	0.18	0
LINC01399	0.28	0.21	0.04	0.04
WTH3DI	0	0	0	0
LINC00892	0.36	6.3	0.83	6.09
LOC105369205	1.1	0.43	0.18	0.11
HOXB-AS3	0.59	0	0	0
CTAGE7P	0.01	0.31	0.01	0.18
LINC01007	0	0	0	0
LINC00456	0.04	0	0.5	0
USP17L11	0	0	0	0
LOC728660	0	0	0	0
UBE2E2-AS1	0	0	0	0
LOC101929023	0.25	0.19	0.57	0.09
RNF224	0	0	0	0
LINC00642	0.31	0.02	0	0
LOC101927843	0.09	0	0.06	0
LOC100996842	6.4	4.06	2.51	3.82
DEFA9P	0	0	0	0
LOC101929464	0	0.2	0	0
LOC100129434	10.14	11.91	5.8	9.64
LOC101929633	1.77	0.66	0.23	1.98
LINC00264	0	0.26	0	0.14
LOC105376116	0	0	0	0
GPX1	22.31	24.37	37.8	27.34
LOC105372626	0	0	0	0
LOC101928401	0.17	0.45	0.08	0.4
LOC105373354	0	0.16	0.01	0.14
XXYLT1-AS1	0	0	0	0
OSTN-AS1	0.05	2.79	0.41	1.09
DSCR10	0	0	0	0.06
USP32P2	4.12	0.95	2.06	1.65
TLR8-AS1	0	0	0	0
LINC00028	0	0.08	0	0
CHRM3-AS2	0.27	16.2	3.25	10.86
LOC101927051	0	0.13	0.04	0.21
LOC101929297	0	0	0	0
GTF2IP4	0.14	0.04	0.02	0.06
NKAPP1	0.03	0.84	0.52	0.79
LOC200772	0.06	0	0	0
LOC101928979	1.99	0.3	0.38	0.51
LOC101929406	0	0.02	0	0
LINC01046	0	0	0	0
FANK1-AS1	0	0	0	0
OR5H15	0	0	0	0
LOC100132147	0	0.3	0.04	0.44
HOTAIRM1	2.21	2.39	2.03	2.31
BTBD18	0.1	0.11	0.02	0.06
LOC100130849	0	0	0	0
LOC105372746	0	0	0	0
LOC100128317	0.01	0	0	0
TMEM238	0	0.04	0	0.1
SYNJ2-IT1	0	0	0	0
ZNF197-AS1	1.24	0.41	0.49	0.26
LOC105372978	0.13	0.2	0.1	0.19
ZNF529-AS1	2.14	1.7	1.07	2.4
DEFA10P	0	0	0	0
LOC730338	2.98	0.12	0.61	0.01
DNM3-IT1	0	0	0	0.08
B4GALT1-AS1	0.78	1.34	0.54	1.03
LOC101928797	0	0	0	0.32
LINC00690	0	0	0	0.04
LOC102723362	0	0	0	0
LOC105378853	11.5	0.01	4.15	0.04
ERI3-IT1	0.21	0.22	0.04	0.3
LOC101927926	0	0	0	0
LINC01392	0	0	0	0
TWIST2	0	0	0	0
LINC00462	0.36	0	0	0.16
DDX11L10	0	0	0	0
LOC102723833	0	0	0	0
LINC01137	0.34	1.58	0.97	1.27
LINC01158	24.85	0	0	0.16
GPR158-AS1	0	0	0	0
PIRT	0	0	0	0
ANAPC1P1	0	0.11	0.21	0.02
LOC105375342	0	0	0	0
LOC100505795	0	0	0	0
LOC339807	0	0.01	0	0
TTTY18	0.55	0	0	0
PRR23C	0.03	0.03	0.05	0.1
SLC26A4-AS1	2.69	0.08	0.1	0.02
MYCNOS	0	0	2.12	0
LOC105376276	0	0	0	0
LINC01122	0	0.17	0	0.13
LINC00284	0	0	0	0
LOC101928185	0.03	0	0	0
LINC00656	0	0	0	0
DSCAM-IT1	0	0	0	0
LOC100506289	0	0	0	0.05
LINC01251	0	0.46	0.17	0
LINC00367	0	0.02	0	0.08
LINC01136	0.02	1.35	0.3	0.37
TRIM49D2	0	0	0	0
TSPY4	0	0	0.01	0
LINC01237	0.35	1.19	0.27	2.05
IFNA13	0	0	0	0
HIST1H2BN	0.07	0.3	0.21	0.14
LOC100506098	0.07	1.92	0.99	2.15
PCDH9-AS4	0	0	0	0
KCNQ5-IT1	0	0.04	0.09	0.24
LOC105378991	0	0	0	0
TTTY15	6.23	0.03	6.69	10.41
LOC285889	0	0	0	0
LOC105371660	0	0	0	0
LOC727993	0	0.02	0	0.01
LINC01503	1.19	1.15	0.24	0.47
FLJ31662	0.68	0.5	0.25	0.9
POTEB	0	0	0	0
LOC105372840	0.06	0.51	0.15	0.47
LOC101927502	0	0.17	0.05	0
RPS28	231.92	720.18	275.42	657.26
KRTAP5-AS1	0.02	0.25	0.08	0.39
CTXN2	0.09	0.01	0	0
UQCRHL	199.43	101.42	100.88	123.52
LOC101928834	0.09	0.06	0	0
LINC01360	0	0	0	0.01
LOC101929526	0	0	0	0
LINC01425	0	0.09	0	0
DDX39B-AS1	0.25	0.16	0.12	0.45
LOC101928403	1.63	1.97	0.72	2.11
LINC00463	0.04	0	0	0
PAGE2	0	0.18	0	0
SPATA17-AS1	0	0	0	0
TPRG1-AS1	0.26	0.03	1.05	0
LOC105375297	0	0	0	0
LOC340017	0	0.02	0	0.02
RPL13AP6	0.04	0.34	0.12	0.18
CSN1S2AP	0	0	0	0
TRIM26	15.62	37.57	20.75	40.59
LOC101927424	0	0	0	0.03
LOC101928820	0.07	0	0.02	0.02
PABPC5-AS1	0.07	0	0	0
RNASEH1-AS1	4.65	4.46	2.75	6.38
LOC105378311	0	0.01	0	0
LINC01114	0.17	0	0	0
DEFA11P	0	0	0	0
LOC101927412	2.63	58.58	6.91	66.28
C16orf82	0	0	0	0
LINC01191	0	0.21	0.11	0
LOC101927914	0	0	0	0.01
LOC105371260	0.55	1.06	0.48	1.31
