GenSymb	LAU125_FPKM	LAU355_FPKM	LAU1255_FPKM	LAU1314_FPKM
LOC101928673	0.7	1.94	0.85	1.58
METTL11B	0	0	0	0
FCGR3A	3.35	55.41	120.94	6.9
TMEM244	0	0	0.39	0.13
OR6K3	0	0	0	0
CENPW	12.78	6.8	7.95	12.29
SPRN	0.08	0.25	0.12	0.3
FAM229B	7.96	0.36	1.42	0.46
FANK1	1.1	0.78	0.33	1.65
LOR	0	0	0	0
PRR9	0.07	0	0	0
LELP1	0	0	0	0
SPRR2E	0	0	0	0
KPRP	0.01	0	0	0
METTL10	9.47	11.65	7.44	13.35
FAM24A	0	0	0	0
DDO	4.88	0.26	1.62	0.21
CCDC162P	0	0.16	0	0.05
LINC00222	0.16	0	0	0
ADAMTSL4-AS1	0.3	0.33	0.74	0.19
PLPP4	0.9	0	0.57	0
BVES-AS1	1.53	0	0.17	0
LIN28B-AS1	0	0	0	0
HIST2H3C	0.19	0.2	0.18	0.12
HIST2H2AA3	1.2	7.95	7.34	7.17
HIST2H2BF	0.65	1.75	1.19	1.25
HIST2H2BC	0	4.36	0	0
PNLIPRP3	0	0.02	2.83	0.04
HIST2H3A	0.19	0.2	0.18	0.12
HSD3B1	2.13	0	0.04	0
HSD3B2	0.01	0	0	0
ATP1A1-AS1	1.66	2.13	1.07	1.84
RBM20	0.5	0.02	1.72	0.09
SMIM9	0.04	0	0	0
C6orf163	0.21	0.47	0.06	0.71
SNHG5	126.23	385.8	102	93.27
RIPPLY2	0	0	0	0
CHIAP2	0	0	0.02	0
GDI1	45.16	38.63	64	46.29
PCMTD2	16.87	18.1	9.32	15.03
SOX18	0	0	0	0
CYP17A1-AS1	0.07	0.3	1.21	0
LIME1	0	1.37	0.46	1.91
SPATA42	0.19	0	0	0
LOC100130587	0	0	0.01	0
OOEP	0	0	0	0.31
KHDC3L	0	0	0	0
DPPA5	0	0	0	0
C1orf146	0	0.05	0	0.05
SPANXN1	0.01	0	0	0
SPANXA2	0	0	0	0
LINC00632	0	0.03	0	0.02
CXorf66	0	0	0	0
C10orf62	0	0	0.04	0
SAMD13	3.39	0.22	2.71	0.6
FAM127B	38.15	5.42	38.81	8.76
CCDC160	1.88	0	0.07	0
C1orf141	0	0	0.24	0.12
EFCAB7	7.65	5.07	3.93	4.44
DEFB110	0	0	0	0
GLYATL3	0	0	0	0
LDLRAD1	0	0	0	0
LOC100133077	0	0	0	0.01
RHOXF2B	0	0.02	0.02	0
ARRDC1-AS1	1.15	3.23	2.21	2.8
ZYG11A	0.05	0.25	0.09	0.24
LINC01270	0.7	0	0.37	0
LCN8	0	0	0.23	2.64
LCN6	0.06	3.25	0	5.31
C1orf185	0	0	0	0
GLT6D1	0	0	0	0
IFIT1B	0	0	0	0
CT83	0	0	0	0
LIPN	0	0	0.13	0.14
LIPK	0	0	0	0
LIPJ	0.01	0.3	0	0.2
TRPC5OS	0.02	0.03	0.04	0.02
LRIT2	0	0.01	0	0.01
LRRC73	0.03	0	0.34	0
FOXO6	0.1	0.02	0.21	0.07
TCEAL5	0	0	0	0
SYS1	12	30.91	14.86	34.84
TCEAL6	0	0	0	0
INPP5B	7.75	15.5	6.35	16
RPA4	0.02	0.08	0.07	0.09
TDRG1	0	0	0.02	0
NEU4	0	0.02	0.01	0.01
MAFB	2.04	3.26	5.27	0.39
TRAF3IP1	11.9	9.23	5.44	10.78
CHIC1	3.87	3.81	2.93	4.42
LOC100287792	0.03	0.09	0.05	0.03
NAP1L6	0.04	0.14	0.04	0.08
GIGYF2	47.57	31.1	19.8	31.32
C2orf72	0.25	0	0.03	0
RUFY2	6.25	7.27	5.62	7.47
NHSL2	0.1	0.34	0.25	0.22
GGTA1P	0.15	5.05	1.52	0.71
PHACTR4	14.82	13.76	11.19	14.62
CLPSL1	0.14	0	0	0
ASAH2B	0.85	2.21	3.53	2.02
AGAP6	0.71	2.46	1.73	2.1
TIMM23B	12.18	8.85	21.87	15.39
ZDHHC18	3.87	21.44	14.44	17.66
C10orf128	1.31	44.2	7.75	42.25
CXorf65	3.25	7.01	5.32	3.61
AGAP9	0.57	2.04	0.69	1.39
LRRC37A5P	0	0.02	0	0
NPY4R	0.02	0	0.1	0.08
GPRIN2	0	0	0	0
SYT15	0.42	0.5	1.13	0.44
BMS1P5	1	2.27	1.5	2.1
TMEM57	19.47	14.18	9.63	18.03
PTPN20	0.05	0.09	1.16	0.13
ZDBF2	1.09	2.05	0.97	1.52
LINC00619	0	0	0	0
GGNBP1	0	0.09	0.02	0.05
TXNDC8	0	0	0	0
AWAT1	0	0	0	0
DAXX	26.86	87.83	31.18	95.23
BMPR2	11.17	6.43	17.13	5.35
TCEA3	29.99	4.7	15.22	1.6
MIR6834	52.58	43.63	80.3	52.19
RING1	17.45	18.68	27.61	16.49
HSD17B8	8.68	5.61	7.55	4.19
RXRB	10.27	16	12.7	16.57
OXLD1	0.64	2.44	1.93	3.14
LOC100128239	0.74	1.21	0.48	0.79
OR13C3	0	0	0	0
COL11A2	0.56	0.06	1.1	0.12
LINC00587	0	0	0	0
HLA-DOA	2.13	131.18	34.28	212.24
BRD2	194.42	453.98	270.52	299.71
HLA-DMA	10.55	414.53	183.02	511.38
PSMB8-AS1	2.57	100.07	30.4	102.9
COL5A2	29.89	0.16	14.39	0.32
PSMB8	19.37	101.18	90.48	106.63
TAP2	5.98	35.23	36.6	47.69
SPIN3	1.59	1.41	0.81	2.08
LOC100996291	0.03	0.09	0.01	0.09
TMEM235	0	0	0	0
PAGE3	0	0	0	0
TNRC6C-AS1	5.18	13.91	3.22	14.02
FLJ45079	0	0.01	0	0.03
HLA-DRA	105.6	5020.02	1940.43	5524.01
BTNL2	0.03	0.38	0.05	0.3
COL15A1	5.9	0.12	0.11	0.03
OR8B2	0	0	0	0
C6orf10	0	0.03	0.02	0
TMEM225	0	0.09	0	0
NOTCH4	1.22	3.14	1.93	3.65
PBX2	22.51	50	34.82	52.27
AGER	0.68	3.76	1.76	4.34
RNF5	31.48	28.21	41.06	32.71
MIR6721	36.32	16.84	54.72	18.81
DFNB59	0.39	0.34	0.35	0.35
LOC100507547	2.06	0.31	1.77	0.33
FKBPL	3.39	2.11	7.13	2.27
MRPL38	14.94	22.29	16.62	22.36
SMIM5	0.08	0.3	0.11	0.16
ERICH2	0.18	0.03	0	0.03
SP5	0	0	0	0
CYP21A1P	0	0	0	0
STK19	10.05	5.67	8.69	6.25
CD300LD	0	0	0	0.06
BTBD17	0	0	0	0
DXO	7.43	13.84	10.04	8.37
SKIV2L	15.77	19.5	20.65	20.24
C9orf129	0	0	0.03	0.08
MIR1236	41.71	28.37	54.26	33.1
NXPE2	0.02	0.06	0	0.02
SPANXN5	0	0.01	0	0
ZBTB12	0.9	0.6	0.58	0.85
SDHD	67.9	51.03	29.97	58.62
EHMT2	7.11	12.46	9.48	13.81
XAGE1B	0	0.01	34.68	0.01
LOC100129029	0.14	0.04	0.14	0.07
LAYN	30.17	1.1	4.01	1.79
XAGE1E	0.18	0	19.54	0.11
SLC44A4	0.06	0.04	0.12	0
NEU1	33.04	17.05	44.03	14.09
C6orf48	268.91	226.14	139.06	191.41
HSPA1B	102.24	27.31	147.75	122.12
HSPA1A	111.09	10.75	170.73	58.43
HSPA1L	1.08	1.2	1.37	1.24
LSM2	26.94	35.77	32.58	35.88
LOC149950	0	0	0	0
VARS	27.04	33.5	23.59	33.77
VWA7	0.09	0.64	0.15	0.59
CARD16	116.64	55.98	171.1	62.55
CASP12	1.01	0.15	0.09	0.47
MBD5	15.11	19.21	12.22	14.56
MSH5	7.62	8.93	5.86	8.2
CSHL1	0	0	0	0.08
C6orf25	0.08	1.19	0.06	0.19
LY6G6C	0	0	0.02	0.04
LY6G6F	0	0	0	0
ABHD16A	9.5	16.04	17.42	16.44
LY6G5C	0.99	3.09	1.37	1.4
CSNK2B	104.74	122.11	151.89	128.65
GPANK1	9.37	17.51	18.68	17.5
C6orf47	6.42	7.97	9.1	11.53
FAM155A	0	0	0	0.01
APOM	1.44	4.44	1.66	3.81
TRIM49C	0	0	0	0
TRIM64	0	0	0.01	0
LOC151121	0	0	0	0.06
BAG6	100.18	106.51	115.44	116.17
PRRC2A	28.01	70.49	46.56	60.98
AIF1	9.8	106.37	102.35	38.65
NCR3	0.42	41.27	2.91	34.8
PRAMEF20	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF14	0	0	0	0
LST1	7.61	67.6	30.67	35.74
NFKBIL1	3.73	3.93	6.02	3.6
PRAMEF15	0	0	0	0
PRAMEF9	0	0	0	0
PRAMEF7	0	0	0	0
MCCD1	0	0	0	0
ZNF814	0.97	2.09	0.71	1.58
MICB	0.94	18.86	15.3	20.21
AADACL4	0	0	0	0
ZNF551	1.03	3.83	1.57	3.78
MICA	4.98	9.61	11.46	10.64
ZNF805	1.27	2.08	1.04	1.83
HLA-C	60.51	846.92	562.6	732.36
PSORS1C3	0	0.07	0.08	0
POU5F1	0.82	1.86	0.66	1.56
CCHCR1	11.06	5.49	9.83	4.97
PSORS1C2	0.06	0	0	0
CDSN	0	0	0	0.01
PSORS1C1	0.8	0.18	0.58	0.03
C6orf15	0	0	0	0
MUC21	0	0	0.01	0
DEFB122	0	0	0.05	0
DEFB121	0	0	0	0
DHX16	16.37	20.43	21.38	24.08
C6orf136	8.34	11.93	8.86	11.6
MRPS18B	64.63	37.52	41.49	41.32
PPP1R10	34.88	53.7	29.74	39.34
KRTAP5-11	0.1	0	0	0
KRTAP5-10	0	0.07	0	0
ABCF1	46.8	31.85	39.31	41.49
PRR3	9.44	13.95	11.43	14.18
LILRB3	0.4	3.52	4.95	0.77
MIR4640	6.88	6.16	13.53	9.01
LOC400997	0.08	0	0	0
LRCOL1	0	0	0	0
LINC01123	0.07	0.14	0.34	0.13
GNL1	16.12	22.53	26.1	32.53
HLA-E	50.79	823.06	478.15	858.05
DPRX	0.06	0.59	0.07	0.39
TRIM39	7.17	15.95	11.4	11.63
LINC01257	0.15	0	0	0
ZNF468	4.14	11.13	3.44	10.57
TRIM15	0	0	0	0.02
ZNF616	6.53	2.97	3.61	4.3
FOXB2	0	0	0	0
TRIM10	0	0	0	0
TRIM40	0	0.01	0	0
TRIM31	0.02	0.05	0.12	0.1
RNF39	0.93	0.27	0.57	0.49
PPP1R11	40.54	41.74	54.72	44.96
HLA-J	0.41	0.11	0.21	0.07
ZNRD1ASP	1.31	1.58	0.65	1.12
DISP3	0.02	0.05	0.01	0.02
HCG9	0	0	0	0.03
RACK1	910.42	2093.19	1020.76	1959.18
HLA-G	0.21	3.86	0.72	3.35
TBC1D8	2.88	8.04	4.91	5.19
NMS	0	0	0	0.05
HLA-F	3.07	86.41	53.81	90.2
ZFP57	7.22	0	0.07	0.02
SSX9	0	0	0	0
CRHR1-IT1	3.9	5.57	1.95	6.12
ASPDH	0	0	0.02	0.12
MOG	0.11	0.18	0.41	0.64
OR2H2	0	0.02	0	0
CBY3	0	0	0.03	0
C5orf60	0	0.04	0.01	0.01
CST13P	0	0	0	0
LOC400710	0.09	0.01	0	0.01
C9orf57	0	0	0	0
IL31	0	0	0	0
AKT1S1	11.21	4.97	11.88	4.45
FAM153C	0.12	2.56	0.47	0.82
GABBR1	4.81	8.03	9.72	5
CASC10	0.29	0	0.56	0
C10orf113	0	0	0	0
LOC284788	0	0	0	0
MAS1L	0	0.04	0.02	0
OR2H1	0.01	0	0.01	0.05
OR11A1	0.15	0.04	0.02	0.02
OR14J1	0	0	0	0
OR2J2	0	0	0	0
OR2J3	0	0	0	0
OR2B3	0	0	0	0
OR2W1	0	0	0	0
MAMDC2-AS1	0.04	0.06	0.01	0
SPDYC	0.02	0	0	0
C9orf135	0.02	0	0.11	0
TRIM27	17	20.03	16.93	20.22
MALRD1	0	0.02	0.01	0.02
FLJ16171	0.1	0.09	0.1	0.05
LOC100268168	0.38	0.55	0.38	0.44
RANBP17	4.07	0.01	2.55	0.2
FAM196B	0.86	0.07	1.52	0.22
FOXD4L5	0.02	0.03	0	0
LINC01291	3.88	0	5.5	3.59
TTC25	1.57	0.08	0.77	0.07
MRPL53	7.93	10.2	9.53	10.64
ST8SIA6-AS1	0.1	0.07	0.1	0.19
MROH6	0.79	0.42	1.31	0.54
ATXN2	25.17	17.44	16.48	19.05
DCTN1	38.31	44.7	57.15	60.11
SPATA31A1	0.05	0	0	0.02
PNMAL2	0.04	0.36	0.13	0.04
TCTN1	20.66	8.98	12.34	11.89
FAM216A	6.43	4.22	1.99	4.07
ZBTB48	4.57	8.76	4.16	6.73
IGFL2	0	0.06	0.04	0.05
LOC400706	0	0	0	0.14
NAT8B	0	0	0.1	0.1
KRTAP9-3	0	0	0	0
KRTAP4-8	0	0	0	0
GPR20	0	0	0	0
KRTAP1-4	0	0	0	0
KRT40	0	0	0	0
KRT25	0	0	0	0.01
MZT1	7.9	9.04	6.02	12.68
LINC01545	0.16	0	0.23	0.05
SPINK9	0.56	1.24	0.4	1.57
LRRC3C	0	0.05	0	0
PRR20B	0	0	0	0
PRR20A	0	0	0	0
ZNF155	3.04	3.17	1.71	3.72
UQCC3	3.05	2.18	1.7	4.04
FBXO48	0.94	1.37	0.63	1.87
GRXCR2	0	0	0	0
LOC101927533	0.21	0	0.08	0.02
FAM221B	0.04	0.41	0.07	0.24
ATP6V0E2-AS1	6.78	0.52	3.72	0.64
CD177	0	0	0.03	0.38
PSG5	0.03	0.01	3.89	0
ZNF783	2.61	6.49	2.88	4.63
ZNF425	1.44	0.6	0.32	0.56
FAM83A-AS1	0	0	0	0
LRRC10B	0.87	0	0.15	0
FBXO47	0.03	0.02	0.01	0.02
C12orf73	3.96	2.28	2.05	2.17
PCDHGA1	0.3	0.04	0.85	0.08
BLACE	0	0	0	0
PCDHA9	0.02	0.02	0.04	0.04
PCDHA8	0.05	0.02	0	0
PCDHA7	0	0	0.02	0
PCDHA5	0.01	0	0.04	0
PCDHA4	0.04	0	0.05	0
PCDHA2	0	0	0	0.04
PCDHA1	0	0	0	0
TRIM13	5.82	15.42	6.6	14.69
ERICH4	0	0	0	0
MS4A13	0.1	0	0.03	0
PRSS1	0.02	1.1	0.03	0.34
SPIRE2	0.72	0.21	0.79	0.06
AARD	1.88	0.05	2.57	0.07
LOC400558	0	0	0	0
PABPN1L	0	0.02	0	0.02
OR5D16	0	0	0	0
OR5L2	0	0	0	0
LOC440040	0	0	0	0
LOC400553	0	0.14	0.02	0.06
PKHD1L1	0.22	5.33	0.23	11.9
SLFN12L	0.12	3.58	3.06	2.04
LINC01121	0.03	0.03	0.03	0.05
CLLU1OS	0	0.09	0	0
SLC35B4	24.35	11.34	9.81	9.37
LGALS7	0	0	0	0
SYCE1L	0	0.04	0	0
TMEM231	6.72	0.62	5.2	0.74
FAM71F2	0.31	0.67	0.29	0.39
C2orf91	0.13	0.4	0.12	0.37
CCNI2	1.71	1.92	1.85	1.65
TMEM240	0.67	0.06	0.03	0
FRG2	0	0	0	0
DKFZp779M0652	0	0.03	0.07	0.11
FAM205A	0	0	0	0.03
CDKL4	0.37	0	0.08	0.03
TMEM88B	0	0	0	0
ACCSL	0.03	0.01	1.25	0.02
C4orf47	0.89	0.1	0.41	0.09
TRIQK	36.01	4.61	17.41	5.88
SDHAF1	3.04	5.47	4.39	6.42
ARID3C	0.03	0.01	0	0
PSENEN	33.79	35.74	60.76	38.18
REXO1L1P	0.03	0.1	0.02	0.1
C11orf91	0.14	0	0	0
LINC00654	1.08	0.6	0.11	0.48
FABP9	0	0	0	0
ZBTB10	39.78	30.64	31.18	10.22
C4orf46	6.85	5.24	6.16	7.21
SCGB2B2	0.06	0.04	0	0.07
CCDC144NL	0.01	0.01	0.04	0.01
LGR4	7.92	1.48	1.39	1.01
PSMB10	3.51	22.03	15.36	25.45
VIT	0.03	0	0.21	0.27
TTLL10-AS1	0	0.01	0	0.03
SPDYE2	1.33	1.91	0.78	1.61
E2F4	11.63	30.49	18.69	31.69
PDE7A	6.72	94	16.66	94.77
TMEM170B	2.2	1.66	1.45	1.41
MUC12	0.27	0.17	0.09	0.07
CTXN3	0.02	0.01	0	0
LINC01602	0.05	0.08	0.04	0.15
MGAT4D	0.01	0	0	0.01
SNX2	61.86	113.78	49.39	133.24
SAP25	0.11	0.27	0.24	0.58
NT5M	1.18	0.29	0.37	0.27
SARNP	67.04	53.04	52.89	71.36
OR6C68	0	0	0	0
OR6C65	0	0	0	0
OR6C3	0	0	0.07	0
OR6C1	0	0	0	0.06
LINC01460	0.09	0.25	0.1	0.25
ADGRG1	160.4	1.53	79.36	2.25
IPO7	106.91	33.39	59.86	55.89
PRR13	62.88	176.69	101.86	180.6
TECPR1	5	10.85	5.28	9.83
MT1H	0	0	0.13	0
SLCO6A1	0	0	0.23	0
MT1A	2.13	0	0.57	0
C15orf59	0.3	0	0.06	0
MT1M	0.29	0.2	0.11	0.06
LINC00661	0	0	0.01	0
CFI	11.04	1.27	14.6	3.35
OR52E6	0	0	0	0
SAMD9	8.24	16.12	7.32	19.2
KRT6A	0	0	0.06	0
CNEP1R1	5.87	7.07	6.34	8.25
LOC100129027	0.14	0	0	0
KRT81	0.01	0	0	0.04
EXOC3L4	0	0	0.02	0.02
KRTAP12-3	0	0.06	0	0
IZUMO3	0	0	0	0
KRTAP10-2	0	0	0	0
TP53TG3D	1.81	0.1	1.46	0.16
TP53TG3C	2.35	0.01	0.12	0.03
ATP6AP1L	1.57	0.84	1.05	1.69
CCDC85C	0.15	0.14	0.18	0
LOC100133091	4.69	2.59	0.91	2.31
OR52J3	0	0	0	0
OR51A2	0	0	0	0.12
OR51A4	0	0	0	0
C2CD4B	0	0	0	0
RGL3	0.2	0.24	1.08	0.04
NAP1L4	75.16	79.87	85.11	79.96
TMSB4X	212.4	4062.4	1469.27	4133.32
TMEM256	23.53	24.36	18.1	27.84
C9orf92	0	0	0	0
CHKB-AS1	0.07	0.14	0.33	0.04
CPT1B	0.93	5.19	6.32	4.35
SMN2	27.82	25.61	24.98	39.28
SERF1B	20.21	16	15.45	18.8
HMGN1	301.64	414.64	208.79	526.51
DENND6B	0.32	1.39	1.85	2.65
EIF3CL	0.35	0.4	0.28	0
LINC01446	1.96	0.01	0.27	0.03
LCMT1	17.93	14.66	18.38	16.73
LINC01310	0	0	0	0
LINC00898	1.49	0.02	0.06	0
LINC00583	0	0	0	0
MFSD2B	0.13	0.18	0.43	0.33
VCX3B	0.07	0	0.1	0
CDPF1	1.8	4.37	2.71	3.5
HTN3	0.07	0.5	1.52	0.3
LIN52	9.93	7.09	4.98	6.1
ARSH	0	0	0.01	0
ACOT6	0.2	0	0.13	0.02
SMIM11A	21.89	17.21	8.94	17.52
TECRL	0	0	0	0.02
DPF3	3.61	2.59	0.75	3.23
MANSC4	0.02	0	0.04	0.15
ADARB2-AS1	0	0	0	0
CYP2D7	0.3	0.09	0.27	0.51
LINC00634	0.01	0	0.01	0.01
ETFRF1	19.18	14.07	9.36	10.67
C17orf107	0.06	0.31	0.35	0.03
MBD3L4	0	0	0	0.12
ITSN1	30.79	2.72	11.02	1.78
ITPRIPL2	6.37	0.64	3.26	1.33
DENND1C	1.03	37.61	10.06	32.29
SLCO1B7	0	0	0	0
CRLF2	0.27	0.96	1.1	0.68
CRYZL1	51.63	24.45	27.06	26.11
RP9P	50.22	2.35	7.65	1.66
C5orf51	14.22	7.93	12.76	8.22
CATSPER2P1	1.6	0.76	0.98	0.8
GAGE1	0.15	0.01	4.94	0.15
ARRDC5	0.01	1.11	0.19	1.06
LINC01531	0	0	0	0
LOH12CR2	2.67	1.02	1.02	0.68
LOC344967	0	0.01	0	0.01
CYS1	0.02	0.23	0.01	0.4
PLPP6	1.12	3.07	1.64	3.56
KLRC2	0.4	1.76	1.66	1.58
KLRC3	0.48	2.35	4.4	2.6
C16orf96	0.07	0.18	0.11	0.02
GMNC	0	0	0	0
LINC00487	0	0.09	0.09	0.93
TTC23L	1.04	0.04	0.58	0.02
CLEC6A	0.01	0.1	0.47	0.04
RFPL3S	0.32	0.2	0.23	0.27
C22orf42	0.1	0.01	0	0.03
NANOGNB	0	0	0	0
LRRC72	0	0	0	0
C1QTNF9B	0.21	0.23	0.3	0
KRTAP5-6	0.04	0	0.04	0
FAM99B	0	0	0	0
FAM99A	0	0	0	0
KRTAP5-2	0	0.06	0	0.1
KRTAP5-1	0	0.02	0.02	0
DEFB134	0	0	0	0
DEFB135	0	0	0	0
DEFB136	0	0	0	0
C1RL-AS1	0.06	1.15	0.5	1.15
LOC100128770	0	0	0	0
BHLHA9	0	0	0	0
ZNF316	5.16	7.11	3.24	5.58
SRRM2-AS1	0.05	0.03	0.01	0.03
DAZ4	0.29	0	0	0
ONECUT3	0	0	0	0
CEMP1	1.34	1.54	1.36	1.1
OLIG2	0.02	0	0.08	0.07
C21orf62	0.03	0.02	0.05	0
RNPS1	31.03	41.41	35.09	46.45
DAZ2	0	0	0	0
USP17L6P	0.03	0.02	0	0
NYNRIN	5.56	0.09	1.15	0.27
DNAJC19	26.32	26.59	30.22	31.81
IFITM5	0	0.03	0	0
SMIM21	0	0	0	0
DEFB109P1B	0	0	0	0
C18orf63	0	0	0	0.01
DEFA1	0.05	0.06	0	0
DOK6	0.02	0.12	0.05	0.11
HN1L	30.81	8.6	12.25	13.43
TMEM211	0	0	0	0
SERPINB11	0	0	0	0
SERPINB4	0	0	0	0.02
SERPINB5	0.01	0	0.12	0
ZDHHC11B	1.6	0.13	1.44	0.04
KRTAP19-8	0	0	0.18	0
KRTAP20-3	0	0	0	0
KRTAP20-4	0	0	0	0
KRTAP22-2	0	0	0	0
KRTAP27-1	0	0	0	0
CFAP99	0	0.02	0	0
GOLGA8O	1.59	1.29	0.82	1.85
TMEM191C	0.14	0.59	0.65	1.41
LOC100996335	0	0.01	0.17	0.01
HERC2P9	4.9	7.51	6.33	7.5
RNASE13	0	0	0	0
GYG2P1	0.18	0.1	0.51	0
HBA1	0.45	0.27	0.14	0.67
HBM	0	0	0	0
TCEB3B	0.01	0.01	0	0
LOC100128714	0	0	0	0
ATP10A	1.01	2.66	6.85	1.96
DUXAP8	1.41	0.52	4.82	0.85
ANKUB1	0	0.02	0.01	0.05
TSSK2	0	0	0	0
PRR23A	0.01	0	0	0
FOXL2NB	0	0	0.01	0
HCP5	0.76	71.97	14.05	69.34
HCG27	0.02	0.51	0.23	0.28
COL6A6	1.24	0	0.03	0.04
RAB12	30.1	9.78	20.41	9.2
LRRC30	0	0	0	0
TMEM200C	0.26	0	0	0
PPIAP30	0	0	0	0
OR10C1	0	0	0	0
TXNRD3NB	0.04	0.02	0.22	0
HLA-A	109.17	1220.53	1116.94	1058.97
HACD2	15.83	24.89	27.89	32.86
CFAP44	2.75	2.98	3.06	1.45
CD200R1L	0	0	0	0
LNP1	7.97	1.24	8.3	0.92
OR5K3	0	0	0.02	0.02
VGLL3	0.01	0.04	0.01	0.02
PRSS50	0.01	0.01	0.05	0.02
KRBOX1-AS1	0	0.01	0	0
TRIM71	0.04	0	0	0
ZCWPW2	0.98	0.18	0.49	0.11
ANKRD28	66.82	14.36	39.58	15.52
COLQ	1.39	1	1.2	0.67
METTL6	15.84	11.08	15.96	12.47
THUMPD3-AS1	6.69	12.59	5.33	10.97
XKR4	0	0.02	0	0
RNVU1-7	0.2	0	7.72	0.44
SNORA57	0.34	3.84	0.4	2.38
SNORD58A	0	0	0	0
SNORD116-11	0	0	0	0
SNORD24	0	0	0	0
SNORA2A	0	1.95	0	0
SNORD45C	0	0	0	0
SNORD116-14	0	0	0	0
SNORA69	0	0	0	0
RNU6-1	0	0	0	0
SNORD60	0	0	0	0
SNORA80B	0	1.9	2.19	0
SNORA22	1.46	2.01	1.16	0.57
SNORA70G	0	0	0	0
RNU1-1	0.2	3.85	7.72	0.44
SNORD116-17	0	0	0	0
SNORD21	0	0	0	0
SNORD116-18	0	0	0	0
SNORA56	0	0	0	0
SNORD116-9	0	0	0	0
RNVU1-18	0.2	3.85	7.72	0.44
SNORD101	0	0	0	0
SNORA30	0	0	0	0
SNORA6	0	0	0	0
SNORD37	0	0	0	0
SNORA32	0	0	0	0
SNORA10	0	0	0	0
SNORA1	0	0	0	0
SNORA5A	0	0.5	0	0
SNORA70F	0	0.49	0	0
SNORA75	0.45	1.39	0	0
SNORA29	0	0	0	0
SNORA70B	0	0	0	0
SNORD15A	0	0	0	0
SNORA36A	0	0	0	0
SNORA50A	0	0	0	0
SNORD61	0	0	0	0
SNORD63	0	0	0	0
SNORD116-2	0	0	0	0
RNU1-2	0.2	3.85	7.72	0.44
SNORA54	0	0	0	0
SNORD116-3	0	0	0	0
SNORA36C	0	0	0	0
SNORD59A	0	0	0	0
SNORD51	0	0	0	0
SNORA27	1.11	7.59	1.86	0.97
SNORD116-1	0	0	0	0
SNORA72	0	0.12	0	0
SNORA7B	0	0	0	0
SNORD116-8	0	0	0	0
SNORA25	0	0	0	0
SNORD14D	0	0	0	0
SNORD116-7	0	0	0	0
SNORD116-13	0	0	0	0
SNORA18	0	0	0	0
SNORA70	0	0	2.77	2.17
SNORA68	0	2.59	0.6	0
SNORA15	0	0	0	0
SNORD116-15	0	0	0	0
SNORA14B	0	0	0	0
SNORD116-5	0	0	0	0
SNORD116-12	0	0	0	0
RNVU1-15	0	1.05	0	0.6
SNORA70E	0	0	0	0
SNORA37	0	0	0	0
SNORD45A	0	0	0	0
SNORD116-29	0	0	0	0
SNORD116-16	0	0	0	0
SNORA70C	0	0	0	0
SNORD116-24	0	0	0	0
SNORD20	0	0	0	0
SNORD7	0	0	0	0
SNORA8	0	0	0	0
SNORA2B	0	0	0	0
RNVU1-1	0	0	0	0
RNVU1-17	0	0	0	0
RNU6-2	0	0	0	0
SNORD116-23	0	0	0	0
RNU1-4	0.2	3.85	7.72	0.44
SNORA20	0.52	1.07	1.23	4.24
SNORA64	0	0	0	0
SNORA41	0	0	0	0
SNORD38B	0	0	0	0
SNORD116-6	0	0	0	0
SNORD56B	0	0	0	0
SNORD15B	0	5.95	3.42	1.27
SNORD116-19	0	0	0	0
SNORA19	0	0	0	0
SNORA80E	0	0	0	0
SNORA46	0	0	0	0
SNORA7A	0	0	0	0
SNORD102	0	0	0	0
RNVU1-14	0.26	3.74	0	1.21
RNU6-9	0	0	0	0
RNU1-3	0.2	3.85	7.72	0.44
SNORA66	0	0.52	0	0.59
MIR548C	0	0	0	0
MIR25	0	0	0	0
MIR217	0	0	0	0
MIR521-2	0	0	0	0
MIR99B	0	0	0	0
MIR608	0	0	0	0
MIR633	0	0	0	0
MIR647	0	0	0	0
MIR578	0	0	0	0
MIR635	0	0	0	0
MIR34C	0	0	0	0
MIR23B	0	0	0	0
MIR203A	0	0	0	0
MIR433	0	0	0	0
MIR615	0	0	0	0
MIR550A2	0	0	0	0
MIR661	0	0	0	0
MIR649	0	0	0	0
MIR587	0	0	0	0
MIR583	0	0	0	0
MIR662	0	0	0	0
MIR526B	0	0	0	0
MIR199B	0	0	0	0
MIR30B	0	0	0	0
MIR606	0	0	0	0
MIR181D	0	0	0	0
MIR135A2	0	0	0	0
MIR544A	0	0	0	0
MIR593	0	0	0	0
MIR508	0	0	0	0
MIR215	0	6.84	0	0
MIR520A	0	0	0	0
MIR181A2	0	0	0	0
MIR490	0	0	0	0
MIR124-3	0	0	0	0
MIR520E	0	0	0	0
MIR598	0	0	0	0
MIR106A	0	0	0	0
MIR206	0	0	0	0
MIR191	0	0	0	0
MIR554	0	0	0	0
MIR200A	0	0	0	0
MIR127	0	0	0	0
MIR491	0	0	0	0
MIR149	0	0	0	0
MIR604	0	0	0	0
MIR181C	0	0	0	0
MIR193A	0	0	0	0
MIR515-2	0	0	0	0
MIR515-1	0	0	0	0
MIR3074	0	0	0	0
MIR585	0	0	0	0
MIR516A2	0	0	0	0
